features,location,price
 189 m²  189 m²  2 hab.  3 baños  2 estac. ,"San Rafael, Quito",USD 187.542
 301 m²  301 m²  3 hab.  4 baños ,"Cumbayá, Quito",USD 299.000
 183 m²  183 m²  3 hab.  5 baños ,"Norte de Quito, Quito",USD 215.000
 240 m²  240 m²  4 hab.  4 baños  3 estac. ,"Los Chillos, Quito",USD 270.000
 1250 m²  420 m²  7 hab.  7 baños  8 estac. ,"Pifo, Quito",USD 500.000
 72 m²  72 m²  3 hab.  1 baño ,"Mitad del Mundo, Quito",USD 65.000
 258 m²  167 m²  3 hab.  2 baños  1 estac. ,"Conocoto, Quito",USD 138.000
 180 m²  100 m²  4 hab.  2 baños ,"Norte de Quito, Quito",USD 40.000
 500 m²  250 m²  4 hab.  3 baños  2 estac. ,"Cumbayá, Quito",USD 227.500
 1070 m²  1070 m²  4 hab.  5 baños  6 estac. ,"Cumbayá, Quito",USD 1.270.000
 612 m²  479 m²  4 hab.  4 baños  3 estac. ,"Nayón - Tanda, Quito",USD 575.099
 494 m²  469 m²  14 hab.  10 baños ,"El Recreo, Quito",USD 200.000
 1370 m²  1370 m²  10 hab.  10 baños  5 estac. ,"Ponceano, Quito",USD 370.000
 250 m²  195 m²  3 hab.  3 baños  2 estac. ,"Tumbaco, Quito",USD 235.000
 1500 m²  550 m²  5 hab.  5 baños  4 estac. ,"Puembo, Quito",USD 715.000
 543 m²  543 m²  8 hab.  5 baños  4 estac. ,"Norte de Quito, Quito",USD 287.000
 227 m²  207 m²  4 hab.  2 baños  3 estac. ,"Norte de Quito, Quito",USD 125.000
 305 m²  260 m²  4 hab.  3 baños  2 estac. ,"Cumbayá, Quito",USD 220.000
 125 m²  80 m²  3 hab.  2 baños  1 estac. ,"Mitad del Mundo, Quito",USD 58.000
 193 m²  143 m²  3 hab.  2 baños  2 estac. ,"Conocoto, Quito",USD 79.000
 174 m²  118 m²  3 hab.  2 baños  2 estac. ,"Los Chillos, Quito",USD 98.000
 131 m²  131 m²  3 hab.  2 baños  1 estac. ,"Calderón, Quito",USD 80.000
 500 m²  200 m²  3 hab.  3 baños ,"Sangolqui, Quito",USD 170.000
 334 m²  334 m²  4 hab.  2 baños  2 estac. ,"Centro Norte, Quito",USD 380.000
 2200 m²  784 m²  4 hab.  4 baños  5 estac. ,"Monteserrín, Quito",USD 1.750.000
 900 m²  900 m²  14 hab.  4 baños  5 estac. ,"Norte de Quito, Quito",USD 275.000
 431 m²  431 m²  14 hab.  10 baños  2 estac. ,"Los Chillos, Quito",USD 150.000
 153 m²  112 m²  4 hab.  2 baños  1 estac. ,"Norte de Quito, Quito",USD 115.000
 125 m²  125 m²  3 hab.  3 baños ,"Norte de Quito, Quito",USD 95.000
 2525 m²  835 m²  4 hab.  4 baños ,"Conocoto, Quito",USD 400.000
 415 m²  231 m²  4 hab.  4 baños  4 estac. ,"Alangasí, Quito",USD 220.000
 450 m²  450 m²  4 hab.  4 baños  6 estac. ,"Carcelén, Quito",USD 390.000
 160 m²  143 m²  3 hab.  2 baños  1 estac. ,"Calderón, Quito",USD 90.000
 262 m²  171 m²  2 baños  2 estac. ,"Los Chillos, Quito",USD 144.500
 133 m²  133 m²  3 hab.  1 baño  1 estac. ,"Norte de Quito, Quito",USD 85.000
 432 m²  432 m²  8 hab.  8 baños  4 estac. ,"Norte de Quito, Quito",USD 149.000
 161 m²  106 m²  3 hab.  2 baños  2 estac. ,"Los Chillos, Quito",USD 88.000
 305 m²  305 m²  7 hab.  6 baños ,"Norte de Quito, Quito",USD 300.000
 413 m²  286 m²  3 hab.  2 baños  2 estac. ,"Tumbaco, Quito",USD 295.000
 125 m²  112 m²  3 hab.  2 baños ,"Norte de Quito, Quito",USD 75.000
 375 m²  300 m²  3 baños  2 estac. ,"Amagasí, Quito",USD 285.000
 454 m²  10 hab.  6 baños  3 estac. ,"El Condado, Quito",USD 260.000
 275 m²  275 m²  8 hab.  4 baños  1 estac. ,"Sur de Quito, Quito",USD 78.000
 150 m²  150 m²  3 hab.  2 baños ,"Tumbaco, Quito",USD 135.000
 187 m²  146 m²  3 hab.  2 baños  2 estac. ,"La Armenia, Quito",USD 110.000
 225 m²  198 m²  3 hab.  2 baños  2 estac. ,"Centro Norte, Quito",USD 205.000
 242 m²  242 m²  5 hab.  4 baños  2 estac. ,"Carcelén, Quito",USD 123.000
 32 m²  122 m²  3 hab.  2 baños  2 estac. ,"Tumbaco, Quito",USD 152.800
 730 m²  342 m²  3 hab.  3 baños  2 estac. ,"Tumbaco, Quito",USD 420.000
 1120 m²  1120 m²  6 hab.  2 baños  15 estac. ,"Centro Norte, Quito",USD 697.000
 181 m²  181 m²  3 hab.  2 baños  2 estac. ,"El Inca, Quito",USD 99.000
 1981 m²  290 m²  3 hab.  2 baños  20 estac. ,"San Rafael, Quito",USD 540.000
 550 m²  477 m²  5 hab.  5 baños  2 estac. ,"Ponceano, Quito",USD 230.000
 249 m²  249 m²  4 hab.  4 baños  2 estac. ,"Nayón - Tanda, Quito",USD 240.000
 350 m²  270 m²  3 hab.  2 baños  2 estac. ,"Cumbayá, Quito",USD 295.000
 224 m²  224 m²  7 hab.  4 baños ,"Carcelén, Quito",USD 140.000
 426 m²  426 m²  4 hab.  3 baños ,"Conocoto, Quito",USD 220.000
 294 m²  235 m²  3 hab.  3 baños  2 estac. ,"Norte de Quito, Quito",USD 180.000
 235 m²  170 m²  3 hab.  3 baños  2 estac. ,"Cumbayá, Quito",USD 205.000
 2000 m²  200 m²  3 hab.  2 baños  10 estac. ,"Guayllabamba, Quito",USD 200.000
 210 m²  210 m²  19 hab.  7 baños ,"Norte de Quito, Quito",USD 120.000
 260 m²  195 m²  3 hab.  3 baños  1 estac. ,"Pomasqui, Quito",USD 105.000
 890 m²  470 m²  3 hab.  3 baños  5 estac. ,"Tumbaco, Quito",USD 580.000
 300 m²  460 m²  6 hab.  4 baños ,"Cumbayá, Quito",USD 400.000
 510 m²  300 m²  3 hab.  4 baños  4 estac. ,"Ponceano, Quito",USD 310.000
 783 m²  480 m²  4 hab.  3 baños  5 estac. ,"Miravalle, Quito",USD 550.000
 131 m²  131 m²  3 hab.  2 baños  1 estac. ,"Calderón, Quito",USD 119.500
 236 m²  200 m²  3 hab.  2 baños ,"Conocoto, Quito",USD 140.000
 662 m²  354 m²  6 hab.  4 baños  2 estac. ,"Sangolqui, Quito",USD 200.000
 235 m²  164 m²  3 hab.  2 baños  2 estac. ,"Cumbayá, Quito",USD 190.000
 54 m²  122 m²  3 hab.  2 baños  2 estac. ,"Tumbaco, Quito",USD 150.900
 281 m²  160 m²  3 hab.  3 baños ,"Carcelén, Quito",USD 143.000
 419 m²  373 m²  4 hab.  3 baños ,"Cumbayá, Quito",USD 375.000
 300 m²  300 m²  5 hab.  3 baños  2 estac. ,"Monjas, Quito",USD 125.000
 270 m²  270 m²  7 hab.  2 baños ,"Conocoto, Quito",USD 110.000
 315 m²  267 m²  4 hab.  2 baños  7 estac. ,"Norte de Quito, Quito",USD 130.000
 935 m²  429 m²  8 hab.  8 baños ,"Cumbayá, Quito",USD 750.000
 900 m²  340 m²  3 hab.  3 baños  3 estac. ,"San Rafael, Quito",USD 250.000
 510 m²  420 m²  4 hab.  5 baños  3 estac. ,"Tumbaco, Quito",USD 445.000
 138 m²  3 hab.  2 baños  2 estac. ,"Norte de Quito, Quito",USD 95.000
 192 m²  4 hab.  3 baños  1 estac. ,"Los Chillos, Quito",USD 140.000
 220 m²  147 m²  4 hab.  3 baños  2 estac. ,"Norte de Quito, Quito",USD 165.000
 165 m²  130 m²  3 hab.  2 baños  1 estac. ,"Carcelén, Quito",USD 77.000
 510 m²  5 hab.  5 baños  2 estac. ,"Pifo, Quito",USD 247.999
 560 m²  190 m²  2 hab.  3 baños ,"Cumbayá, Quito",USD 360.000
 220 m²  220 m²  3 hab.  3 baños  2 estac. ,"Cumbayá, Quito",USD 230.000
 302 m²  208 m²  3 hab.  2 baños  2 estac. ,"Tumbaco, Quito",USD 245.000
 250 m²  250 m²  4 hab.  3 baños  3 estac. ,"Los Chillos, Quito",USD 170.000
 220 m²  220 m²  3 hab.  3 baños  2 estac. ,"Conocoto, Quito",USD 140.000
 765 m²  265 m²  4 hab.  4 baños  10 estac. ,"Cumbayá, Quito",USD 279.800
 308 m²  230 m²  4 baños  2 estac. ,"Nayón - Tanda, Quito",USD 249.000
 455 m²  455 m²  4 hab.  7 baños  4 estac. ,"Norte de Quito, Quito",USD 343.000
 519 m²  286 m²  3 hab.  2 baños  2 estac. ,"Lumbisí, Quito",USD 350.000
 1005 m²  850 m²  4 hab.  8 baños ,"Centro Norte, Quito",USD 650.000
 337 m²  3 hab.  2 baños  3 estac. ,"Tumbaco, Quito",USD 280.000
 532 m²  531 m²  7 hab.  5 baños  5 estac. ,"Monteserrín, Quito",USD 230.000
 224 m²  214 m²  3 hab.  3 baños  2 estac. ,"Ponceano, Quito",USD 165.000
 336 m²  336 m²  8 estac. ,"Sur de Quito, Quito",USD 110.000
 538 m²  377 m²  5 hab.  4 baños  5 estac. ,"Ponceano, Quito",USD 350.589
 146 m²  146 m²  4 hab.  4 baños  2 estac. ,"Norte de Quito, Quito",USD 134.000
 165 m²  135 m²  4 hab.  3 baños  2 estac. ,"Calderón, Quito",USD 77.000
 161 m²  145 m²  3 hab.  2 baños  2 estac. ,"Tumbaco, Quito",USD 140.000
 340 m²  340 m²  11 hab.  5 baños  1 estac. ,"Sur de Quito, Quito",USD 145.000
 251 m²  251 m²  9 hab.  4 baños ,"Carapungo, Quito",USD 95.000
 326 m²  326 m²  7 hab.  5 baños  3 estac. ,"Sur de Quito, Quito",USD 140.000
 130 m²  130 m²  4 hab.  2 baños  1 estac. ,"Norte de Quito, Quito",USD 119.000
 396 m²  362 m²  10 hab.  8 baños ,"Centro de Quito, Quito",USD 225.000
 414 m²  414 m²  10 hab.  8 baños ,"Norte de Quito, Quito",USD 225.000
 1380 m²  500 m²  3 hab.  3 baños  3 estac. ,"Puembo, Quito",USD 870.000
